"Client","Total","Subsidiary (Lobbied For)","Industry"
"Acuity Brands Lighting","$20000","-","Misc Mfg/Distrib"
"Air Products & Chemicals Inc","$90000","-","Chemicals"
"Alliant Energy","$200000","-","Electric Utilities"
"American Gas Assn","$120000","-","Oil & Gas"
"Assured Guaranty Corp","$210000","-","Insurance"
"Bakkt Holdings","$202000","-","Securities/Invest"
"Berkshire Hathaway","<$5000","Berkshire Hathaway Energy","Electric Utilities"
"BGI Shenzhen","$540000","-","Pharm/Health Prod"
"Carlyle Group","<$5000","StandardAero","Air Transport"
"Cheniere Energy","$70000","-","Oil & Gas"
"Coalition for the Life Sciences","$20000","-","Unknown Business"
"Colt Defense","$10000","Colt's Manufacturing Co","Misc Mfg/Distrib"
"Commercial Real Estate Finance Council","$160000","-","Real Estate"
"Complete Parachute Solutions","$10000","-","Defense Aerospace"
"Council of Insurance Agents & Brokers","$230000","-","Insurance"
"Crosslake Machining","<$5000","-","Unknown Business"
"Dell Technologies","$30000","-","Electronics Mfg/Eqp"
"Dewberry","$10000","Dewberry Engineers","Construction Svcs"
"Dongwon Industries","$240000","StarKist","Food & Beverage"
"Echostar Corp","<$5000","DISH Network","TV/Movies/Music"
"Economic Innovation Group","$40000","-","Non-Profits"
"Equitable Holdings","$50000","-","Insurance"
"Fluor Corp","$20000","-","Construction Svcs"
"Fort Huachuca 50","$10000","-","Business Assns"
"George Kaiser Family Foundation","$80000","-","Non-Profits"
"GTI Energy","$20000","-","Oil & Gas"
"HDR Inc","$20000","-","Construction Svcs"
"Igloo Products","$40000","-","Misc Mfg/Distrib"
"Independent Dealer Trader Assn","$30000","-","Business Assns"
"International Dairy Foods Assn","$50000","-","Dairy"
"Iten Defense","$20000","-","Misc Defense"
"KKR & Co","<$5000","1-800 Contacts","Health Services"
"Macro Industries (Alabama)","$10000","-","Air Transport"
"Medicare & Medicaid Advantage Products Assn of PR","$280000","-","Insurance"
"Meta","$50000","-","Internet"
"National Assn of Insurance & Financial Advisors","$250000","-","Insurance"
"Native American Rights Fund","<$5000","-","Human Rights"
"Northern Dynasty Minerals","<$5000","-","Mining"
"NSO Group Technologies","$10000","-","Electronics Mfg/Eqp"
"OU Health","$80000","OU Medicine","Hospitals/Nurs Homes"
"Owamniyomni Okhodayapi","$30000","-","Non-Profits"
"Peace Officers Research Assn of CA","$200000","-","Public Sector Unions"
"Point Blank Enterprises","$30000","-","Misc Defense"
"Prudential Financial","$250000","-","Insurance"
"Securities Investor Protection Corp","$10000","-","Securities/Invest"
"Siemens AG","$20000","Siemens Government Technologies","Misc Defense"
"Travelers Companies","$130000","-","Insurance"
"University of Oklahoma","$200000","-","Education"
"University of Tulsa","$200000","-","Education"
"VGR Holding","$80000","Liggett Vector Brands","Tobacco"
"Vici Properties","$320000","Venetian Casino Resort","Casinos/Gambling"
"Wacker Chemie","$790000","Wacker Polysilicon North America","Electronics Mfg/Eqp"
"WL Gore & Assoc","$90000","-","Chemicals"
"Wood Preservative Science Council","$90000","-","Chemicals"
"XB Fulfillment","$110000","-","Internet"
