"Client","Total","Subsidiary (Lobbied For)","Industry"
"280 Earth","$50000","-","Environmental Svcs"
"Acuity Brands Lighting","$30000","-","Misc Mfg/Distrib"
"Alliant Energy","$200000","-","Electric Utilities"
"American Gas Assn","$120000","-","Oil & Gas"
"Assured Guaranty Corp","$190000","-","Insurance"
"Baldwin Group (Florida)","$30000","-","Insurance"
"Berkshire Hathaway","$130000","Berkshire Hathaway Energy","Electric Utilities"
"BGI Shenzhen","$100000","-","Pharm/Health Prod"
"Carbon Capture Inc","$50000","-","Environmental Svcs"
"Carbon Geocapture","$20000","-","Renewable Energy"
"Cheniere Energy","$20000","-","Oil & Gas"
"Commercial Real Estate Finance Council","$160000","-","Real Estate"
"Council of Insurance Agents & Brokers","$180000","-","Insurance"
"Crosslake Machining","<$5000","-","Unknown Business"
"Digital Currency Group","$20000","-","Securities/Invest"
"Dongwon Industries","$240000","StarKist","Food & Beverage"
"Echostar Corp","<$5000","DISH Network","TV/Movies/Music"
"Economic Innovation Group","$20000","-","Non-Profits"
"Equitable Holdings","<$5000","-","Insurance"
"George Kaiser Family Foundation","$100000","-","Non-Profits"
"HIF Global","$20000","-","Renewable Energy"
"Igloo Products","$10000","-","Misc Mfg/Distrib"
"Independent Dealer Trader Assn","$20000","-","Business Assns"
"International Dairy Foods Assn","<$5000","-","Dairy"
"KKR & Co","<$5000","1-800 Contacts","Health Services"
"Medicare & Medicaid Advantage Products Assn of PR","$20000","-","Insurance"
"National Assn of Insurance & Financial Advisors","<$5000","-","Insurance"
"Native American Rights Fund","<$5000","-","Human Rights"
"Neurocytonix Inc","$60000","-","Unknown Business"
"New York University","$200000","-","Education"
"NSO Group Technologies","$20000","-","Electronics Mfg/Eqp"
"OU Health","$80000","OU Medicine","Hospitals/Nurs Homes"
"Peace Officers Research Assn of CA","$200000","-","Public Sector Unions"
"Prudential Financial","$20000","-","Insurance"
"Securities Investor Protection Corp","<$5000","-","Securities/Invest"
"Travelers Companies","$20000","-","Insurance"
"University of Oklahoma","$200000","-","Education"
"University of Tulsa","$200000","-","Education"
"VGR Holding","$60000","Liggett Vector Brands","Tobacco"
"Vici Properties","$320000","Venetian Casino Resort","Casinos/Gambling"
"Wacker Chemie","$800000","Wacker Polysilicon North America","Electronics Mfg/Eqp"
"Wood Preservative Science Council","$20000","-","Chemicals"
